Reporting org id,Reporting org name
#org+id+reporting,#org+name+reporting
fr-3,AFD
xm-dac-6-4,AICS - Italian Agency for Cooperation and Development
us-ein-11-3803281,African Center for Economic Transformation
african development bank,African Development Bank
46002,African Development Bank Group
gb-chc-1128267-8,Age International UK (HelpAge International UK)
us-501c3-522318905,AidData
au-5,Australian Aid
be-bce_kbo-0264814354,Belgian development agency (Enabel)
dac-1601,Bill and Melinda Gates Foundation
gb-chc-220949,British Red Cross
gb-chc-285776,CAFOD
ca_on-ont-1597880,CANADEM
gb-chc-292506,CARE International UK
gb-coh-03877777,CDC Group plc
gb-chc-326568,Charity Projects Ltd (Comic Relief)
gb-chc-1105851,Christian Aid
no-brc-917687811,Coalition for Epidemic Preparedness innovations
ie-chy-20009090,Concern Worldwide
gb-chc-1092236,Concern Worldwide (UK)
nl-kvk-41160054,Cordaid
xm-dac-21-1,DFAT / Irish Aid
dk-cvr-20699310,Danish Refugee Council
gb-gov-13,"Department of Business, Energy and Industrial Strategy"
de-cr-ra000220-vr3810,Deutsche Welthungerhilfe
xm-dac-2-10,Directorate-general Development Cooperation and Humanitarian Aid
gb-chc-1062638,Disasters Emergency Committee
gb-chc-1067406,Doctors of the World UK
xi-iati-ec_echo,European Commission - Humanitarian Aid & Civil Protection
xi-iati-ec_intpa,European Commission - International Partnerships
xi-iati-ec_fpi,European Commission â€“ Service for Foreign Policy Instruments
xm-dac-918-3,European Investment Bank
de-1,Federal Ministry for Economic Cooperation and Development (BMZ)
xm-dac-41301,Food and Agriculture Organization (FAO)
ca-3,"Foreign Affairs, Trade and Development Canada (DFATD)"
nl-kvk-56484038,Foundation ICCO
47122,"Gavi, The Vaccine Alliance"
xm-dac-5-7,Germany - Federal Foreign Office
us-ein-300108263,GlobalGiving
gb-chc-1082565,HIUK
fr-pdr-w691075333,Handicap International Federation
gb-coh-1762840,HelpAge International
gb-chc-1065972,IRC-UK
gb-chc-1075920,Indigo Trust
xm-dac-301-2,International Development Research Centre
xm-dac-21018,International Federation of Red Cross and Red Crescent Societies
xm-dac-903,International Finance Corporation
xm-dac-41302,International Labour Organization (ILO)
xm-dac-47066,International Organization for Migration (IOM)
us-ein-13-5660870,International Rescue Committee Inc.
xm-dac-45001,International Trade Centre (ITC)
fr-6,MAEDI
gb-coh-fc012665,McKinsey & Company
be-bce_kbo-0435563751,Memisa Belgique asbl
fi-3,Ministry for Foreign Affairs of Finland
es-dir3-e04585801,"Ministry of Foreign Affairs and Cooperation, Spain"
xm-dac-7,Ministry of Foreign Affairs of the Netherlands
xm-dac-84,Ministry of Foreign Affairs of the Republic of Lithuania
xm-dac-3-1,"Ministry of Foreign Affairs, Denmark"
nl-kvk-27378529,Netherlands Enterprise Agency
nz-1,New Zealand Ministry of Foreign Affairs and Trade
no-brc-971277882,Norad - Norwegian Agency for Development Cooperation
no-brc-977538319,Norwegian Refugee Council
gb-coh-2695347,Options Consultancy Services
us-ein-23-7069110,Oxfam America
gb-chc-202918,Oxfam GB
dk-cvr-88136411,Oxfam IBIS
nl-kvk-27108436,Oxfam Novib
gb-coh-1364201,Plan International UK
us-irs-13-5661832,Plan International USA
gb-chc-1076822,Save The Children International
gb-coh-213890,Save The Children UK
gb-chc-207544,Sightsavers
xm-dac-69-2,Slovak Aid
gb-coh-03846881,Social Development Direct Limited
gb-chc-1128536,Street Child
se-0,Sweden
ch-4,Swiss Agency for Development and Cooperation (SDC)
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
gb-coh-877338,The Institute of Development Studies
gb-coh-09288843,The Power of Nutrition
us-ein-941655673,The William and Flora Hewlett Foundation
us-usagov,The federal government of the United States
nl-kvk-41155305,Tropenbos International
gb-gov-10,UK - Department of Health and Social Care (DHSC)
gb-gov-1,"UK - Foreign, Commonwealth and Development Office"
xi-iati-unpf,UN Pooled funds
41120,UN-Habitat
xm-dac-41122,UNICEF
xm-ocha-cerf,UNOCHA - Central Emergency Response Fund (CERF)
xm-dac-41114,United Nations Development Programme
xm-dac-41304,"United Nations Educational, Scientific and Cultural Organization (UNESCO)"
xm-dac-41123,United Nations Industrial Development Organization
41aaa,United Nations Office for Project Services
xm-dac-41127,United Nations Office for the Coordination of Humanitarian Affairs
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs
us-gov-1,United States Agency for International Development (USAID)
gb-chc-288701,WaterAid
44000,World Bank
xi-iati-wbtf,World Bank Trust Funds (WBTF)
xm-dac-41140,World Food Programme
xm-dac-928,World Health Organization
xi-iati-wvdrc,World Vision DRC
de-cr-ra000209-vr1207,World Vision Germany
gb-chc-285908,World Vision United Kingdom
gb-chc-1109789,Y Care International
lr-mpea-ngo-ac-0298,YMCA of Liberia
nl-kvk-41009723,ZOA
im-cr-024714b,openmindedly
